"","conflictid","dyadid","outcome_d","fightcaphigh","coup","land","lngdp","lnyears","postCW","year","Government","Opposition","side_a","side_b","startdate","enddate","rebpolwinglegal","rebestimate","rebel.support","rtypesup","gov.support","gtypesup","rebel.support_dummy","gov.support_dummy","rtypesup_cat","gtypesup_cat"
"155",85,676,2,0,0,1,6.929223,2.302585,0,1972,"Sudan","Anya Nya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156",86,39,1,1,0,0,6.172202,0.6931472,1,1997,"Democratic Republic of Congo (Zaire)","AFDL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",86,40,2,1,0,0,5.852461,1.386294,1,2001,"Democratic Republic of Congo (Zaire)","RCD","Congo/Zaire, Zimbabwe, Angola, Namibia, Chad","RCD","1998-08-11","2001-12-31",NA,40000,"explicit","troops","explicit","troops",1,1,"1",1
"158",86,41,2,0,0,0,5.852461,1.386294,1,2001,"Democratic Republic of Congo (Zaire)","MLC","Congo/Zaire, Zimbabwe, Angola, Namibia, Chad","MLC","1998-11-07","2001-12-31",NA,12000,"explicit","troops","explicit","troops",1,1,"1",1
"159",86,42,2,0,0,0,5.88374,0.6931472,1,2000,"Democratic Republic of Congo (Zaire)","RCD–ML",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160",86,646,2,0,0,0,NA,1.098612,1,2008,"Democratic Republic of Congo (Zaire)","CNDP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161",86,679,3,0,0,0,6.667058,0.6931472,0,1965,"Democratic Republic of Congo (Zaire)","CNL","Democratic Republic of Congo (Zaire)","CNL","1964-05-01","1965-12-31","yes",NA,"explicit","military","explicit","military",1,1,"2",2
"162",86,680,3,0,0,0,6.756048,0,0,1967,"Democratic Republic of Congo (Zaire)","Opposition militias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163",86,681,3,0,0,0,7.043361,0.6931472,0,1978,"Democratic Republic of Congo (Zaire)","FLNC","Democratic Republic of Congo (Zaire)","FLNC","1977-08-17","1978-06-15",NA,4000,"explicit","military","explicit","troops",1,1,"2",1
"164",87,583,3,0,1,0,9.248944,0,0,1964,"Gabon","Military faction (forces loyal to Léon M'Ba)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165",88,685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portugal","Frelimo","1964-11-19","1974-10-31",NA,15000,"explicit","military","explicit","military",1,1,"2",2
"166",90,11,2,0,0,0,7.006596,0.6931472,1,1992,"Burundi","Palipehutu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167",90,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Burundi","CNDD","1994-11-26","1998-05-08","no",NA,"explicit","military","explicit","military",1,1,"2",2
"168",90,13,2,0,0,0,6.632397,0,1,1997,"Burundi","Frolina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169",90,14,2,0,0,0,6.637664,1.791759,1,2003,"Burundi","CNDD–FDD","Burundi","CNDD-FDD","1998-06-07","2003-12-31",NA,11000,"explicit","military","explicit","military",1,1,"2",2
"170",90,15,2,0,0,0,NA,2.484907,1,2008,"Burundi","Palipehutu–FNL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171",90,485,3,0,1,0,6.463201,0,0,1965,"Burundi","Military faction (forces loyal to Gervais Nyangoma)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172",91,18,0,0,0,0,6.800303,0,0,1989,"Chad","Revolutionary Forces of 1 April",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173",91,19,0,0,0,0,6.800303,0,0,1989,"Chad","MOSANAT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174",91,20,0,0,0,0,6.724529,0.6931472,1,1990,"Chad","Islamic Legion","Chad","Islamic Legion","1989-01-01","1990-12-31",NA,3000,"explicit","military","explicit","military",1,1,"2",2
"175",91,21,2,0,0,0,6.756921,1.098612,1,1994,"Chad","CSNPD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176",91,22,0,0,0,0,6.756921,1.098612,1,1994,"Chad","CNR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",91,23,1,1,0,0,6.724529,0,1,1990,"Chad","MPS","Chad","MPS","1990-03-31","1990-12-02",NA,3750,"explicit","military","explicit","military",1,1,"2",2
"178",91,24,2,0,0,0,6.756921,1.098612,1,1994,"Chad","FNT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179",91,25,2,0,0,0,6.724157,0,1,1997,"Chad","MDD","Chad","MDD [-FANT]","1997-01-01","1997-12-31",NA,750,"alleged","military","explicit","military",0,1,"2",2
"180",91,25,2,0,0,0,6.724157,0,1,1997,"Chad","MDD","Chad","MDD [-FANT]","1991-12-31","1993-12-31",NA,750,"alleged","military","explicit","military",0,1,"2",2
"181",91,25,0,0,0,0,6.773858,1.098612,1,1993,"Chad","MDD","Chad","MDD [-FANT]","1997-01-01","1997-12-31",NA,750,"alleged","military","explicit","military",0,1,"2",2
"182",91,25,0,0,0,0,6.773858,1.098612,1,1993,"Chad","MDD","Chad","MDD [-FANT]","1991-12-31","1993-12-31",NA,750,"alleged","military","explicit","military",0,1,"2",2
"183",91,26,2,0,0,0,6.773012,0.6931472,1,1998,"Chad","FARF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184",91,27,0,0,0,0,6.576316,1.386294,1,2002,"Chad","MDJT","Chad","MDJT","1999-12-31","2002-12-31",NA,NA,"explicit","non-military","explicit","military",1,1,"3",2
"185",91,455,2,0,0,0,NA,0.6931472,1,2006,"Chad","FUCD","Chad","FUCD","2005-01-01","2006-12-31",NA,3500,"explicit","military","explicit","military",1,1,"2",2
"186",91,633,2,0,0,0,NA,0,1,2006,"Chad","RAFD","Chad","RAFD","2006-06-04","2006-12-31",NA,1000,"explicit","military","explicit","military",1,1,"2",2
"187",91,634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chad","UFDD","2006-01-01","2007-12-31",NA,NA,"explicit","military","explicit","military",1,1,"2",2
"188",91,658,0,0,0,0,6.80145,0.6931472,0,1972,"Chad","First Liberation Army","Chad","First Liberation Army","1971-01-01","1972-12-31",NA,2000,"explicit","military","explicit","military",1,1,"2",2
"189",91,659,0,0,0,0,6.89723,0,0,1971,"Chad","Second Liberation Army","Chad","Second Liberation Army (Frolinat)","1971-06-18","1971-12-31",NA,NA,"explicit","military","explicit","military",1,1,"2",2
"190",91,660,1,1,0,0,6.432313,1.94591,0,1982,"Chad","FAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191",91,661,2,0,0,0,6.50285,1.098612,0,1979,"Chad","FAP","Chad","FAP","1977-06-21","1979-12-31",NA,NA,"explicit","military","explicit","military",1,1,"2",2
"192",91,662,0,0,0,0,6.432313,0,0,1982,"Chad","FAT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193",91,663,0,1,0,0,6.72579,1.386294,0,1986,"Chad","GUNT","Chad","GUNT","1983-02-24","1986-12-31","no",4000,"explicit","troops","explicit","military",1,1,"1",2
"194",91,664,0,0,0,0,6.667262,0,0,1987,"Chad","CDR","Chad","CDR","1987-01-01","1987-12-31",NA,NA,"explicit","troops","explicit","troops",1,1,"1",1
"195",91,767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chad","AN","2008-01-28","2008-12-31",NA,6000,"explicit","military","explicit","military",1,1,"2",2
"196",91,777,3,0,0,0,6.771901,0,1,1991,"Chad","Military faction (forces of Maldoum Bada Abbas)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197",91,783,0,0,0,0,NA,0,1,2009,"Chad","UFR","Chad","UFR","2009-04-19","2009-12-31",NA,2600,"explicit","military","explicit","military",1,1,"2",2
"198",92,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Colombia","FARC","1978-01-01","2011-12-31","yes",12500,"explicit","non-military","explicit","military",1,1,"3",2
"199",92,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Colombia","FARC","1964-01-01","1977-12-31",NA,500,"explicit","non-military","explicit","military",1,1,"3",2
"200",92,342,0,0,0,0,8.277915,2.079442,0,1973,"Colombia","ELN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201",92,343,2,0,0,0,8.601141,1.94591,1,1990,"Colombia","EPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202",92,343,0,0,0,0,8.715109,3.044523,1,2004,"Colombia","EPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203",92,495,0,0,0,0,8.563909,2.397895,0,1988,"Colombia","M-19","Colombia","M-19","1978-05-28","1988-12-31",NA,800,"explicit","military","explicit","military",1,1,"2",2
"204",93,493,3,1,0,0,7.748067,0,0,1965,"Dominican Republic","Military faction (Constitutionalists)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205",94,498,0,0,0,1,7.068777,1.609438,0,1969,"Indonesia","OPM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206",94,498,0,0,0,1,7.636892,1.791759,0,1981,"Indonesia","OPM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207",94,498,0,0,0,1,7.716238,0,0,1984,"Indonesia","OPM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208",95,235,0,0,0,0,8.331377,2.890372,1,1999,"Peru","Sendero Luminoso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209",95,235,0,0,0,0,NA,1.098612,1,2009,"Peru","Sendero Luminoso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210",95,319,0,0,0,0,8.155962,1.609438,1,1993,"Peru","MRTA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211",95,499,3,0,0,0,8.273638,0,0,1965,"Peru","MIR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212",95,500,3,0,0,0,8.273638,0,0,1965,"Peru","ELN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213",98,502,1,1,1,0,6.535532,0,0,1966,"Ghana","NLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214",98,503,1,1,1,0,7.032032,0,0,1981,"Ghana","Military faction (forces of Jerry John Rawlings)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215",98,504,3,0,1,0,6.947092,0,0,1983,"Ghana","Military faction (forces of Ekow Dennis and Edward Adjei-Ampofo)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216",99,505,0,0,0,1,6.969321,1.098612,0,1968,"India","MNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217",100,494,3,1,1,0,6.845146,0,0,1966,"Nigeria","Military faction (forces of Patrick Nzeogwu)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218",100,793,0,0,0,0,NA,0,1,2009,"Nigeria","Boko Haram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219",101,516,2,0,0,1,8.928998,3.135494,0,1988,"South Africa","SWAPO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220",102,518,1,1,1,0,6.869451,0,0,1966,"Syria","Military faction (forces loyal to Nureddin Atassi and Youssef Zeayen)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221",102,519,3,0,0,0,7.647065,1.386294,0,1982,"Syria","Muslim Brotherhood","Syria","Muslim Brotherhood","1979-06-16","1982-02-15",NA,NA,"alleged","military","explicit","military",0,1,"2",2
"222",103,364,1,0,0,0,7.596221,2.197225,0,1975,"Cambodia","KR","Cambodia, Vietnam","Khmer Rouge/PDK","1990-01-01","1998-10-25",NA,30000,"explicit","military","explicit","military",1,1,"2",2
"223",103,364,1,0,0,0,7.596221,2.197225,0,1975,"Cambodia","KR","Cambodia","Khmer Rouge","1967-05-01","1970-03-17",NA,NA,"explicit","troops","explicit","troops",1,1,"1",1
"224",103,364,1,0,0,0,7.596221,2.197225,0,1975,"Cambodia","KR","Cambodia, Vietnam","Khmer Rouge/PDK","1979-01-09","1989-12-31",NA,30000,"explicit","military","explicit","troops",1,1,"2",1
"225",103,364,1,0,0,0,7.596221,2.197225,0,1975,"Cambodia","KR","Cambodia","FUNK","1970-03-18","1975-04-17",NA,NA,"explicit","troops","explicit","troops",1,1,"1",1
"226",103,364,3,0,0,0,7.763561,2.995732,1,1998,"Cambodia","KR","Cambodia, Vietnam","Khmer Rouge/PDK","1990-01-01","1998-10-25",NA,30000,"explicit","military","explicit","military",1,1,"2",2
"227",103,364,3,0,0,0,7.763561,2.995732,1,1998,"Cambodia","KR","Cambodia","Khmer Rouge","1967-05-01","1970-03-17",NA,NA,"explicit","troops","explicit","troops",1,1,"1",1
"228",103,364,3,0,0,0,7.763561,2.995732,1,1998,"Cambodia","KR","Cambodia, Vietnam","Khmer Rouge/PDK","1979-01-09","1989-12-31",NA,30000,"explicit","military","explicit","troops",1,1,"2",1
"229",103,364,3,0,0,0,7.763561,2.995732,1,1998,"Cambodia","KR","Cambodia","FUNK","1970-03-18","1975-04-17",NA,NA,"explicit","troops","explicit","troops",1,1,"1",1
"230",103,378,2,0,0,0,7.839565,2.564949,1,1991,"Cambodia","KPNLF","Cambodia, Vietnam","KPNLF","1979-11-01","1989-12-31",NA,12500,"explicit","military","explicit","troops",1,1,"2",1
"231",103,378,2,0,0,0,7.839565,2.564949,1,1991,"Cambodia","KPNLF","Cambodia, Vietnam","KPNLF","1990-01-01","1991-10-23",NA,12500,"explicit","military","explicit","military",1,1,"2",2
"232",103,379,0,0,0,0,7.732409,2.772589,1,1997,"Cambodia","FUNCINPEC","Cambodia, Vietnam","FUNCINPEC/ANS","1990-01-01","1991-10-23",NA,15000,"explicit","military","explicit","military",1,1,"2",2
"233",103,379,0,0,0,0,7.732409,2.772589,1,1997,"Cambodia","FUNCINPEC","Cambodia, Vietnam","FUNCINPEC/ANS","1982-01-01","1989-12-31",NA,15000,"explicit","military","explicit","troops",1,1,"2",1
"234",103,379,2,0,0,0,7.839565,2.302585,1,1991,"Cambodia","FUNCINPEC","Cambodia, Vietnam","FUNCINPEC/ANS","1990-01-01","1991-10-23",NA,15000,"explicit","military","explicit","military",1,1,"2",2
"235",103,379,2,0,0,0,7.839565,2.302585,1,1991,"Cambodia","FUNCINPEC","Cambodia, Vietnam","FUNCINPEC/ANS","1982-01-01","1989-12-31",NA,15000,"explicit","military","explicit","troops",1,1,"2",1
"236",103,553,1,0,0,0,7.704046,0.6931472,0,1979,"Cambodia","KNUFNS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237",107,528,3,1,0,1,6.941847,1.386294,0,1970,"Nigeria","Republic of Biafra","Nigeria","Republic of Biafra","1967-07-06","1970-01-12","yes",50500,"explicit","military","explicit","troops",1,1,"2",1
"238",111,57,0,0,0,0,7.908615,0.6931472,1,2001,"Guinea","RFDG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239",112,242,0,0,0,1,8.075138,0,1,1990,"Philippines","MILF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240",112,242,0,0,0,1,NA,2.995732,1,2009,"Philippines","MILF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241",112,247,2,0,0,1,8.056978,3.091043,1,1993,"Philippines","MNLF","Philippines","MNLF","1981-01-01","1993-12-31",NA,17500,"explicit","military","explicit","military",1,1,"2",2
"242",112,247,2,0,0,1,8.056978,3.091043,1,1993,"Philippines","MNLF","Philippines","MNLF","1972-12-31","1980-12-31",NA,13000,"explicit","military","explicit","military",1,1,"2",2
"243",112,252,0,0,0,1,8.193188,0.6931472,1,2002,"Philippines","MNLF – NM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244",112,647,0,0,0,1,NA,0,1,2007,"Philippines","MNLF – HM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245",113,433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sudan","SLM/A","2003-1-1","2003-12-31",NA,6000,"explicit","military","explicit","military",1,1,"2",2
"246",113,434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sudan","JEM","2003-1-1","2003-12-31",NA,6000,"explicit","military","explicit","military",1,1,"2",2
"247",113,520,3,0,1,0,6.925281,0,0,1971,"Sudan","Sudanese Communist Party",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248",113,521,3,0,1,0,7.080279,0,0,1976,"Sudan","Islamic Charter Front","Sudan","Islamic Charter Front","1976-07-02","1976-07-11","yes",1000,"alleged","military","explicit","non-military",0,1,"2",3
"249",113,630,2,0,0,0,NA,0,1,2006,"Sudan","NRF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250",113,631,2,0,0,0,NA,0,1,2006,"Sudan","SLM/A – MM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251",113,641,2,0,0,0,7.071327,3.091043,1,2004,"Sudan","SPLM/A","Sudan","SPLM","1983-05-17","2004-12-31",NA,30000,"explicit","military","explicit","military",1,1,"2",2
"252",113,645,2,0,0,0,6.998108,1.791759,1,2001,"Sudan","NDA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253",113,648,0,0,0,0,NA,0.6931472,1,2008,"Sudan","SLM/A–Unity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254",114,540,3,0,0,0,7.23994,0,0,1971,"Madagascar","Monima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255",115,541,3,0,1,0,7.769919,0,0,1971,"Morocco","Military faction (forces of Mohamed Madbouh)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256",116,542,1,1,0,1,NA,0,0,1971,"Pakistan","Mukti Bahini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257",117,256,3,0,1,0,7.162661,0,0,1971,"Sri Lanka (Ceylon)","JVP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258",117,256,3,0,0,0,7.919531,0.6931472,1,1990,"Sri Lanka (Ceylon)","JVP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259",118,148,0,0,0,0,6.600319,1.791759,1,1992,"Uganda","UPA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260",118,149,3,0,0,0,6.47114,0.6931472,0,1987,"Uganda","HSM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261",118,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uganda","LRA","1988-02-25","2001-08-08",NA,4000,"explicit","military","explicit","troops",1,1,"2",1
"262",118,152,0,0,0,0,6.811696,0,1,1996,"Uganda","WNBF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263",118,153,0,0,0,0,6.99659,1.94591,1,2002,"Uganda","ADF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264",118,153,0,0,0,0,NA,0,1,2007,"Uganda","ADF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265",118,431,0,0,0,0,6.856399,0,1,1997,"Uganda","UNRF II","Uganda","UNRF II","1997-01-01","1997-12-31",NA,3000,"explicit","military","explicit","military",1,1,"2",2
"266",118,554,1,1,1,0,6.931306,0,0,1971,"Uganda","Military faction (forces of Idi Amin)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267",118,555,0,0,1,0,6.945215,0,0,1974,"Uganda","Military faction (forces of Charles Arube)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268",118,556,1,0,0,0,6.664332,0,0,1979,"Uganda","UNLF","Uganda","UNLF","1979-04-07","1979-12-31",NA,4500,"explicit","troops","explicit","military",1,1,"1",2
"269",118,574,1,0,0,0,6.510526,1.791759,0,1986,"Uganda","NRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270",118,575,0,0,0,0,6.554887,0,0,1982,"Uganda","UFM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271",118,700,3,0,0,0,6.970551,0,0,1972,"Uganda","Kikosi Maalum","Uganda","Kikosi Maalum","1972-09-17","1972-12-31","no",1500,"explicit","troops","explicit","military",1,1,"1",2
"272",118,700,3,0,0,0,6.970551,0,0,1972,"Uganda","Kikosi Maalum","Uganda","Kikosi Maalum","1979-01-01","1979-3-26","no",950,"explicit","troops","explicit","military",1,1,"1",2
"273",118,701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uganda","Fronasa","1979-01-01","1979-3-26",NA,1500,"explicit","troops","explicit","military",1,1,"1",2
"274",118,703,0,0,0,0,6.499802,0.6931472,0,1981,"Uganda","FUNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275",118,704,0,0,0,0,6.605704,1.098612,0,1983,"Uganda","UNRF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276",118,706,0,0,0,0,6.47114,0.6931472,0,1987,"Uganda","UPDA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277",118,708,0,0,0,0,6.469622,0,0,1988,"Uganda","Lord's Army",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278",119,216,0,0,0,1,9.87744,3.044523,1,1991,"United Kingdom","PIRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279",119,248,2,0,0,1,10.05108,0,1,1998,"United Kingdom","RIRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280",120,225,2,0,0,0,8.231065,2.484907,1,1991,"El Salvador","FMLN","El Salvador","FMLN","1980-09-02","1991-12-31","no",6000,"explicit","military","explicit","military",1,1,"2",2
"281",120,508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"El Salvador","FPL","1979-10-01","1979-12-31","no",NA,"explicit","military","explicit","military",1,1,"2",2
"282",120,510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"El Salvador","ERP","1979-10-01","1979-12-31","no",NA,"explicit","military","explicit","military",1,1,"2",2
"283",120,514,3,0,1,0,8.25127,0,0,1972,"El Salvador","Military faction (forces of Benjamin Mejia)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284",121,561,0,0,0,0,9.15348,1.94591,0,1975,"Oman","PFLO","Oman, Iran, Jordan, United Kingdom","PFLOAG","1969-01-01","1975-12-31",NA,2000,"explicit","military","explicit","troops",1,1,"2",1
"285",122,565,0,0,0,0,7.589118,0.6931472,0,1968,"Zimbabwe (Rhodesia)","ZAPU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286",122,712,2,0,0,0,8.05194,1.386294,0,1979,"Zimbabwe (Rhodesia)","PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287",123,491,3,0,0,0,8.72369,0,0,1972,"Uruguay","MLN/Tupamaros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288",125,490,1,1,1,0,8.706079,0,0,1973,"Chile","Military faction (forces of Augusto Pinochet, Toribio Merino and Leigh Guzman)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289",126,223,2,0,0,1,7.383325,2.890372,1,1992,"Bangladesh","JSS/SB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290",129,544,0,0,0,1,7.26126,1.386294,0,1977,"Pakistan","Baluchi insurgents",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291",129,639,0,0,0,1,NA,1.791759,1,2009,"Pakistan","BLA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292",129,774,0,0,0,1,NA,0.6931472,1,2009,"Pakistan","BRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293",130,435,0,0,0,0,6.336879,1.098612,1,1999,"Eritrea","EIJM – AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294",130,435,2,0,0,0,6.414557,0,1,2003,"Eritrea","EIJM – AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295",131,7,2,0,0,0,7.074802,2.833213,1,1991,"Angola","UNITA","Angola, Cuba","UNITA","1975-11-11","1980-12-31","no",3000,"explicit","troops","explicit","troops",1,1,"1",1
"296",131,7,2,0,0,0,7.074802,2.833213,1,1991,"Angola","UNITA","Angola, Cuba","UNITA","1981-01-01","1988-12-31",NA,50000,"explicit","troops","explicit","troops",1,1,"1",1
"297",131,7,2,0,0,0,7.588314,3.332205,1,2002,"Angola","UNITA","Angola, Cuba","UNITA","1975-11-11","1980-12-31","no",3000,"explicit","troops","explicit","troops",1,1,"1",1
"298",131,7,2,0,0,0,7.588314,3.332205,1,2002,"Angola","UNITA","Angola, Cuba","UNITA","1981-01-01","1988-12-31",NA,50000,"explicit","troops","explicit","troops",1,1,"1",1
"299",131,568,0,0,0,0,6.856051,1.609438,0,1979,"Angola","FNLA","Angola, Cuba","FNLA","1975-11-11","1979-12-31","no",NA,"explicit","troops","explicit","troops",1,1,"1",1
"300",133,283,0,0,0,1,6.584087,1.94591,1,1999,"Ethiopia","AIAI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301",133,522,0,0,0,1,6.2555,2.079442,0,1983,"Ethiopia","WSLF","Ethiopia, Cuba","WSLF","1976-09-01","1983-12-31",NA,20000,"explicit","troops","explicit","troops",1,1,"1",1
"302",133,792,0,0,0,1,6.060827,0,0,1964,"Ethiopia","Ogaden Liberation Front",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303",134,344,2,0,0,1,8.19,0.6931472,1,1998,"Indonesia","Fretilin","Indonesia","Fretilin","1992-12-15","1992-12-31",NA,200,"explicit","non-military","explicit","military",1,1,"3",2
"304",134,344,2,0,0,1,8.19,0.6931472,1,1998,"Indonesia","Fretilin","Indonesia","Fretilin","1985-01-01","1989-12-31",NA,2000,"explicit","non-military","explicit","military",1,1,"3",2
"305",134,344,2,0,0,1,8.19,0.6931472,1,1998,"Indonesia","Fretilin","Indonesia","Fretilin","1975-12-07","1984-12-31",NA,30000,"explicit","non-military","explicit","military",1,1,"3",2
